EDT,Latitude,Longitude,Course,Direction,KTS,MPH,feet,Rate
Wed 07:46:22 PM,38.2813,23.6969,136¡,Southeast,507,583,"37,000",
Wed 07:46:53 PM,38.2283,23.7608,136¡,Southeast,507,583,"37,000",
Wed 07:47:53 PM,38.126,23.8832,136¡,Southeast,509,586,"37,000",
Wed 07:48:23 PM,38.0737,23.9453,136¡,Southeast,510,587,"37,000",
Wed 07:48:56 PM,38.0168,24.0133,136¡,Southeast,510,587,"37,000",
Wed 07:49:27 PM,37.9657,24.074,136¡,Southeast,510,587,"37,000",
Wed 07:49:57 PM,37.9137,24.1356,136¡,Southeast,511,588,"37,000",
Wed 07:50:27 PM,37.8617,24.1973,136¡,Southeast,510,587,"37,000",
Wed 07:50:57 PM,37.8096,24.2589,136¡,Southeast,510,587,"37,000",
Wed 07:51:27 PM,37.758,24.3196,136¡,Southeast,511,588,"37,000",
Wed 07:51:57 PM,37.705,24.3818,137¡,Southeast,510,587,"37,000",
Wed 07:52:27 PM,37.6544,24.4412,136¡,Southeast,510,587,"37,000",
Wed 07:52:57 PM,37.6017,24.5029,137¡,Southeast,510,587,"37,000",
Wed 07:53:27 PM,37.5527,24.5602,136¡,Southeast,509,586,"37,000",
Wed 07:54:17 PM,37.464,24.6639,137¡,Southeast,508,585,"37,000",
Wed 07:54:47 PM,37.4123,24.724,137¡,Southeast,508,585,"37,000",
Wed 07:55:22 PM,37.3524,24.7937,137¡,Southeast,508,585,"37,000",
Wed 07:55:52 PM,37.3005,24.8538,137¡,Southeast,508,585,"37,000",
Wed 07:56:22 PM,37.248,24.9144,137¡,Southeast,509,586,"37,000",
Wed 07:56:52 PM,37.1965,24.9738,137¡,Southeast,510,587,"37,000",
Wed 07:57:22 PM,37.1429,25.0357,137¡,Southeast,512,589,"37,000",
Wed 07:57:53 PM,37.0939,25.0919,137¡,Southeast,513,590,"37,000",
Wed 07:58:25 PM,37.0339,25.1607,137¡,Southeast,514,592,"37,000",
Wed 07:58:55 PM,36.9823,25.2197,137¡,Southeast,513,590,"37,000",
Wed 07:59:25 PM,36.9285,25.281,137¡,Southeast,512,589,"37,000",
Wed 08:00:20 PM,36.8321,25.3911,137¡,Southeast,511,588,"37,000",
Wed 08:00:50 PM,36.7798,25.4505,137¡,Southeast,512,589,"37,000",
Wed 08:01:20 PM,36.7269,25.5105,137¡,Southeast,512,589,"37,000",
Wed 08:01:50 PM,36.6746,25.5696,137¡,Southeast,513,590,"37,000",
Wed 08:02:20 PM,36.621,25.6303,137¡,Southeast,513,590,"37,000",
Wed 08:03:20 PM,36.5156,25.749,137¡,Southeast,515,593,"37,000",
Wed 08:03:50 PM,36.462,25.8092,137¡,Southeast,515,593,"37,000",
Wed 08:04:21 PM,36.4092,25.8683,137¡,Southeast,514,592,"37,000",
Wed 08:04:51 PM,36.3556,25.9283,137¡,Southeast,515,593,"37,000",
Wed 08:05:21 PM,36.3025,25.9875,137¡,Southeast,516,594,"37,000",
